player_id,player_name,slug,season,minutes,goals_per90,assists_per90,shots_per90,key_passes_per90,tackles_per90,interceptions_per90,clearances_per90,passes_per90,pass_accuracy_pct,saves_per90,rating
260904,Mathías Olivera,m-olivera-miramontes,2025-26,1369,0,0,0.526,0.657,2.761,0.986,1.381,72.579,91,0,6.74
261991,Jonathan Osorio,j-osorio,2025-26,990,0,0.182,0.45,0.73,1.64,0.91,1.45,53,90.4,0,7.31
262142,Maxime Crépeau,m-crepeau,2025-26,826,0,0,0,0,0.11,0,1.09,21.36,68.9,5.01,6.73
262179,Cristian Roldán,c-roldan,2025-26,655,0.412,0,1.24,0.82,2.34,1.24,2.2,67.6,88.4,0,6.64
262216,Cyle Larin,c-larin,2025-26,948,0.759,0.095,2.563,0.665,0.57,0.095,1.234,14.335,77.5,0,6.81
262280,Auston Trusty,a-trusty,2025-26,1910,0,0,0.52,0.28,1.04,0.75,6.74,84.11,92.7,0,7.18
262290,Richie Laryea,r-laryea,2025-26,810,0.222,0.111,0.33,0.56,2,0.56,2,37.78,82.1,0,6.96
262324,Tyler Adams,t-adams,2025-26,1779,0.101,0.101,0.506,0.354,2.732,1.669,2.125,51.096,87.1,0,6.81
262495,Cristian Martínez,cristian-martinez,2025-26,958,0.09,0,0.75,1.69,1.13,1.41,0.56,53.27,82.4,0,6.9
262521,Derrick Etienne Jr.,d-etienne-jr,2025-26,457,0.197,0,1.58,0.98,1.18,0.59,0.2,18.71,74.7,0,
262551,Matt Turner,m-turner,2025-26,900,0,0,0,0,0,0,0.9,30.8,72.4,4.9,
262644,Alphonso Davies,a-davies,2025-26,523,0.172,0.516,0.688,1.549,1.549,0.516,1.549,61.95,93.6,0,6.79
263186,Haji Wright,h-wright,2025-26,2594,0.59,0.035,3.4,0.659,0.416,0.069,0.971,12.282,68.6,0,6.85
273373,Tim Payne,t-payne,2025-26,880,0,0.511,0.41,1.13,0.61,0.82,2.86,41.11,78.6,0,6.78
281527,Mark McKenzie,m-mckenzie,2025-26,2427,0,0.074,0.222,0.705,1.669,0.964,3.671,43.313,86.3,0,6.73
287894,Ronwen Williams,r-williams-287894,2025-26,810,0,0,0,0.11,0,0,0.78,48.22,79.5,1.44,6.74
289341,Teboho Mokoena,t-mokoena,2025-26,810,0.111,0,1.11,0.67,1.44,1.33,1.56,56.67,87.5,0,7.02
289380,Ricardo Goss,r-goss,2025-26,900,0,0,0,0.1,0.1,0,1.1,37.8,68.5,1.5,6.83
289600,Sipho Chaine,s-chaine,2025-26,900,0,0,0,0,0.1,0,0.5,32.8,82,1.8,6.91
293028,Mohamed El Shenawy,m-el-shenawy,2025-26,1350,0,0,0,0,0,0,0.87,21.53,75.9,1.6,6.68
293158,El Mahdi Soliman,a-soliman,2025-26,836,0,0,0,0.11,0.11,0,0.86,20.13,84,2.37,6.59
293709,Mohamed Hany,m-hany-eldemerdash,2025-26,1808,0,0.249,0.5,1.29,1.59,0.75,1.44,51.42,81.8,0,7.01
293894,Yasser Ibrahim,y-ibrahim-el-hanafi,2025-26,1521,0.118,0,0.77,0.12,1.3,1.07,4.14,57.16,88.9,0,6.79
293951,Mostafa Mohamed,m-abdallah,2025-26,1152,0.312,0,2.734,0.781,0.781,0.625,1.094,14.844,61.6,0,6.73
293978,Hamdy Fathy,h-fathi,2025-26,1483,0.121,0,1.76,0.79,1.88,1.09,3.1,52.13,85.6,0,6.86
294000,Omar Marmoush,o-marmoush,2025-26,698,0.387,0.387,3.868,1.547,1.676,0.258,0.258,20.888,87,0,6.9
295910,Shahriar Moghanlou,shahriar-moghanlou,2025-26,1740,0.414,0.103,2.22,0.72,0.57,0.26,0.93,17.02,68.4,0,7.01
296612,Shoja Khalilzadeh,shoja-khalilzadeh,2025-26,900,0,0,0,0,0,0,0,0,,0,
297117,Roozbeh Cheshmi,roozbeh-cheshmi,2025-26,534,0,0,0,0,0,0,0,0,,0,
297293,Ali Alipour,ali-alipour,2025-26,880,0.2,0.2,0,0,0,0,0,0,,0,
297330,Hossein Kanaani,hossein-kanaani,2025-26,814,0.11,0,0,0,0,0,0,0,,0,
297336,Mehdi Torabi,mehdi-torabi,2025-26,726,0,0,0,0,0,0,0,0,,0,
297354,Mehdi Taremi,mehdi-taremi,2025-26,1147,0.785,0.235,3.92,1.96,1.1,0.24,0.55,24.48,74,0,7.08
297357,Alireza Beiranvand,alireza-beiranvand,2025-26,810,0,0,0,0,0,0,0,0,,0,
297396,Hadi Habibinejad,hadi-habibinejad,2025-26,619,0.29,0.29,0,0,0,0,0,0,,0,
297496,Seyed Hossein Hosseini,seyed-hossein-hosseini,2025-26,630,0,0,0,0,0,0,0,0,,0,
297840,Omid Noorafkan,omid-noorafkan,2025-26,708,0,0,0,0,0,0,0,0,,0,
301237,Abdulaziz Hatim,a-abdullah,2025-26,843,0,0.107,0.85,1.39,1.07,0.43,0.53,47.72,87.5,0,6.43
301352,Boualem Khoukhi,b-khoukhi,2025-26,1451,0.062,0,0.62,0.56,0.56,0.87,4.47,53.71,90.5,0,6.85
301365,Ismail Mohamad,i-mohammad,2025-26,626,0.144,0.144,1.01,1.01,1.58,1.01,1.15,29.04,77.2,0,6.71
301403,Karim Boudiaf,k-boudiaf,2025-26,692,0.13,0,0.78,0.78,1.17,0.78,1.56,68.8,88.1,0,7.11
301507,Pedro Miguel,p-correia,2025-26,1476,0.122,0.183,1.4,0.49,1.71,0.61,3.78,43.05,85.3,0,6.85
301887,Almahdi Ali,a-mukhtar,2025-26,693,0.13,0,0.91,0.13,0.52,0.65,4.55,49.35,85.5,0,6.39
302082,Ahmed Alaaeldin,a-abdelmotaal,2025-26,889,0.304,0.202,1.21,1.21,1.11,0.2,0.4,14.78,76.7,0,6.95
302695,Sultan Al-Brake,s-al-braik,2025-26,1346,0.067,0.134,0.87,1.07,1.6,2.41,2.74,47.74,84,0,7.11
302766,Youssef Ayman,y-ayman-hafez,2025-26,995,0,0,0.36,0.18,1.09,1.36,3.44,53.46,90.2,0,6.68
302989,Salman Al-Faraj,s-al-faraj,2025-26,479,0,0,0.56,1.88,0.75,0.38,0.38,65.57,91.7,0,6.14
303276,Hassan Kadesh,h-kadesh,2025-26,1855,0.049,0,0.39,0.1,1.99,1.07,3.74,56.77,93.1,0,6.78
303410,Salem Al-Dawsari,s-al-dawsari,2025-26,1815,0.446,0.397,2.58,1.93,1.04,0.25,0.45,38.88,84.6,0,7.27
303634,Mohammed Waad,m-abdulwahhab-al-bayati,2025-26,515,0,0,0.52,1.05,2.45,2.1,0.87,49.63,83.5,0,6.89
303699,Mohamed Kanno,m-kanno,2025-26,1729,0.26,0.208,1.46,1.04,2.65,1.04,0.88,58.98,90.6,0,7.38
303865,Hazem Shehata,h-shehata,2025-26,721,0,0,0.62,0.25,2.25,1.75,2,31.21,76,0,6.31
303869,Amro Abdelfatah Surag,a-ali-surag,2025-26,1077,0.084,0.334,0.5,1.67,2.01,1.25,1.17,35.01,76.1,0,6.75
304104,Ali bin Mohammed bin Ali Lajami,a-lajami,2025-26,528,0,0,0.68,0.34,1.02,3.41,2.39,56.93,92.2,0,6.44
304117,Sultan Mandash,s-madash,2025-26,880,0.205,0.307,1.43,1.53,2.35,0.61,0.2,32.11,85.7,0,7.19
304255,Alaa Hejji,a-hejji,2025-26,1087,0.166,0.083,0.99,1.74,1.99,1.74,1.24,44.88,84.9,0,6.52
305358,Ali Abdi,a-abdi,2025-26,1167,0.231,0,1.234,1.311,1.697,0.848,2.082,33.162,74.9,0,6.63
305729,Abdullah Al-Khaibari,a-alkhaibari,2025-26,1507,0,0,0.54,0.72,1.67,0.66,0.66,48.02,94.7,0,6.73
305950,Mortadha Ben Ouanes,m-ben-ouannes,2025-26,2203,0.082,0.245,0.98,1.266,0.776,1.021,1.389,28.842,77.9,0,6.87
309844,Shogo Taniguchi,s-taniguchi,2025-26,2954,0.03,0.03,0.427,0.305,1.31,1.249,6.825,63.707,88.6,0,6.95
310131,Daichi Kamada,d-kamada,2025-26,1910,0,0,0.895,0.942,2.969,0.707,1.084,38.874,84,0,6.8
310132,Ko Itakura,k-itakura,2025-26,1380,0.065,0,0.457,0.196,1.174,1.239,6.652,60.391,92.9,0,6.92
310145,Seung-gyu Kim,s-kim,2025-26,1260,0,0,0,0,0.07,0,1.5,38.86,68.4,2.36,6.87
310217,Junya Ito,j-ito,2025-26,1787,0.302,0.252,1.813,2.669,1.914,0.856,0.655,37.571,76.5,0,7.12
310486,Ritsu Doan,r-doan,2025-26,2378,0.189,0.189,1.552,1.514,1.627,0.681,0.643,33.192,77.7,0,6.95
312118,Koki Ogawa,k-ogawa-312118,2025-26,1275,0.565,0.212,3.035,1.271,0.847,0.282,0.565,14.753,67.5,0,6.87
319282,Daizen Maeda,d-maeda,2025-26,2567,0.351,0.21,2.17,1.12,1.12,0.49,0.53,20.55,82.4,0,7.07
320838,Jae-sung Lee,j-lee-320838,2025-26,2201,0.164,0.082,1.227,0.9,1.595,1.022,1.431,27.519,77.3,0,6.79
320844,Hyeon-woo Jo,h-cho,2025-26,990,0,0,0,0,0,0,0.91,25.36,78.1,2.18,
320953,Jin-gyu Kim,j-kim-320953,2025-26,772,0.117,0.117,0.23,2.45,1.52,0.82,1.05,58.17,86.4,0,6.83
321093,In-beom Hwang,i-hwang,2025-26,994,0.091,0.272,1.449,2.173,1.72,1.087,1.72,50.795,82,0,6.97
322964,Min-jae Kim,m-kim,2025-26,1605,0.056,0.056,0.28,0.28,1.346,2.187,4.486,88.598,94.9,0,7.16
323990,Francis de Vries,francis-de-vries,2025-26,1980,0.045,0.318,0.73,2.95,2.27,1,3.5,43.55,71.3,0,7.37
324327,Alex Rufer,a-rufer,2025-26,2044,0.088,0.044,1.1,0.92,2.73,1.45,2.2,56.71,80.7,0,7.1
324712,Liberato Cacace,l-cacace,2025-26,722,0,0,0.873,0.997,0.748,0.997,1.745,30.042,73.4,0,6.64
324785,Michael Woud,michael-woud,2025-26,2211,0,0.041,0,0.08,0.04,0,0.49,19.34,46.9,2.4,6.84
329509,Paul Izzo,p-izzo,2025-26,900,0,0,0,0,0.1,0,0.9,30.6,76.1,3.8,7.15
330546,Jason Geria,j-geria,2025-26,1422,0,0,0.19,0.13,1.33,0.7,7.59,65.95,87.8,0,6.89
330582,Eldor Shomurodov,e-shomurodov,2025-26,2768,0.715,0.163,2.894,1.333,0.845,0.13,0.325,23.573,75.7,0,7.27
330622,Odildzhon Khamrobekov,odildzhon-khamrobekov,2025-26,540,0,0,0.17,1,1.83,1.83,0.33,62.33,89,0,6.76
330673,Rustam Ashurmatov,rustam-ashurmatov,2025-26,716,0.13,0,0,0,0,0,0,0,,0,
330674,Otabek Shukurov,otabek-shukurov,2025-26,1015,0,0.177,0.71,0.98,1.33,0.71,2.13,50.63,85.6,0,6.6
330702,Aziz Ganiev,aziz-ganiev,2025-26,1881,0.096,0.096,1,1.67,1.39,0.91,1.24,36.12,81.7,0,7.04
331066,Rajaei Ayed,rajaei-ayed,2025-26,575,0,0.157,0.78,0.31,1.72,1.1,1.41,47.9,84.6,0,7.03
332047,Elliot Anderson,e-anderson,2025-26,3334,0.108,0.108,1.188,1.566,2.807,1.134,1.323,64.328,85.5,0,7.26
333594,Lautaro Martínez,l-martinez,2025-26,2177,0.703,0.248,3.803,1.53,0.992,0.289,0.744,24.805,78.2,0,7.31
333616,Juan Musso,j-musso,2025-26,630,0,0,0,0,0,0,1,27.429,76,3.143,7.07
333731,Cristian Romero,c-romero,2025-26,1876,0.192,0.048,0.816,0.624,2.783,1.439,4.51,54.115,87.3,0,7.02
333781,Gonzalo Montiel,g-montiel,2025-26,1260,0.286,0.071,1.14,1.64,1.36,1.07,1.71,49.57,80.8,0,
333797,Rodrigo Bentancur,r-bentancur-colman,2025-26,1892,0.048,0.048,0.618,0.476,2.664,1.712,2.283,48.425,85.8,0,6.88
333989,Marcos Senesi,m-senesi,2025-26,3290,0,0.137,0.465,0.657,1.696,1.532,6.921,63.438,77.7,0,7.07
334237,Gabriel Rojas,g-rojas,2025-26,1080,0.083,0.25,0.58,2.33,1.5,1.08,2.17,35.25,76.6,0,6.87
